sample_id,I1_factor,I2_factor,I3_factor,pattern,n_damaged_members,severity,Fh_total,q_beam,maxUx,maxUy,maxUmag,maxMoment,M_colL_bottom,M_colL_top,M_beam_left,M_beam_right,M_colR_bottom,M_colR_top
1,1,1,1,none,0,healthy,10000,-10000,0.000654087357624389,3.09188759056833e-05,0.000654551172474869,279904.393938193,12267.2241539821,15769.4523626179,-15769.4523626179,1634.51078704313,3597.83427044306,-1634.51078704313
2,1,1,1,none,0,healthy,10000,-15000,0.000655294457301852,4.48077647945722e-05,0.00065642596322949,409255.384725608,14434.5716248668,20120.4431500332,-20120.4431500332,5985.50157445839,1430.4867995583,-5985.50157445839
3,1,1,1,none,0,healthy,10000,-20000,0.000656501556979315,5.86966536834611e-05,0.00065859059336108,538606.375513023,16601.9190957516,24471.4339374484,-24471.4339374484,10336.4923618737,-736.860671326453,-10336.4923618737
4,1,1,1,none,0,healthy,15000,-10000,0.00097992393675912,3.2489424969636e-05,0.00098019537247107,290505.600119874,16233.4887600884,19303.1877565116,-19303.1877565116,-1899.22460685057,7564.09887654934,1899.22460685057
5,1,1,1,none,0,healthy,15000,-15000,0.000981131036436583,4.63783138585249e-05,0.000981826758712304,419856.590907289,18400.8362309731,23654.1785439269,-23654.1785439269,2451.76618056469,5396.75140566459,-2451.7661805647
6,1,1,1,none,0,healthy,15000,-20000,0.000982338136114046,6.02672027474138e-05,0.000983653046903081,549207.581694704,20568.1837018579,28005.1693313421,-28005.1693313421,6802.75696797996,3229.40393477983,-6802.75696797996
7,1,1,1,none,0,healthy,20000,-10000,0.00130576051589385,3.40599740335888e-05,0.0013059374352902,301106.806301555,20199.7533661947,22836.9231504053,-22836.9231504053,-5432.96000074426,11530.3634826556,5432.96000074426
8,1,1,1,none,0,healthy,20000,-15000,0.00130696761557131,4.79488629224777e-05,0.00130744652238569,430457.79708897,22367.1008370794,27187.9139378206,-27187.9139378206,-1081.969213329,9363.01601177087,1081.969213329
9,1,1,1,none,0,healthy,20000,-20000,0.00130817471524878,6.18377518113666e-05,0.00130910234494974,559808.787876385,24534.4483079642,31538.9047252358,-31538.9047252358,3269.02157408626,7195.66854088612,-3269.02157408626
10,1,1,1,none,0,healthy,25000,-10000,0.00163159709502858,3.56305230975416e-05,0.00163171875255026,311708.012483236,24166.0179723009,26370.658544299,-26370.658544299,-8966.69539463797,15496.6280887619,8966.69539463796
11,1,1,1,none,0,healthy,25000,-15000,0.00163280419470605,4.95194119864304e-05,0.00163315428527941,441059.003270651,26333.3654431857,30721.6493317143,-30721.6493317143,-4615.70460722269,13329.2806178772,4615.70460722269
12,1,1,1,none,0,healthy,25000,-20000,0.00163401129438351,6.34083008753193e-05,0.00163470745648182,570409.994058067,28500.7129140704,35072.6401191295,-35072.6401191295,-264.713819807424,11161.9331469924,264.713819807435
13,0.995,1,1,left_column_only,1,healthy,10000,-10000,0.000656627531614668,3.09170378453242e-05,0.000657089622372268,279869.056572442,12248.9518399039,15742.3862684831,-15742.3862684831,1615.71596452402,3624.377856137,-1615.71596452402
14,0.995,1,1,left_column_only,1,healthy,10000,-15000,0.000658403556124582,4.48047822033866e-05,0.000659529902255894,409205.992656326,14415.7324938432,20084.4727410867,-20084.4727410867,5962.95282584723,1462.74759091731,-5962.95282584723
15,0.995,1,1,left_column_only,1,healthy,10000,-20000,0.000660179580634496,5.86925265614489e-05,0.00066225734174332,538542.92874021,16582.5131477825,24426.5592136904,-24426.5592136904,10310.1896871705,-698.882674302378,-10310.1896871704
16,0.995,1,1,left_column_only,1,healthy,15000,-10000,0.000983165272912088,3.2487812409924e-05,0.000983435851814511,290466.648774779,16206.6471059167,19271.492930121,-19271.492930121,-1923.66291453718,7598.19704942519,1923.66291453719
17,0.995,1,1,left_column_only,1,healthy,15000,-15000,0.000984941297422002,4.63755567679864e-05,0.000985634433558401,419803.584858663,18373.4277598559,23613.5794027246,-23613.5794027246,2423.57394678603,5436.5667842055,-2423.57394678602
18,0.995,1,1,left_column_only,1,healthy,15000,-20000,0.000986717321931916,6.02633011260487e-05,0.000988026605502488,549140.520942547,20540.2084137952,27955.6658753283,-27955.6658753283,6770.81080810924,3274.93651898581,-6770.81080810925
19,0.995,1,1,left_column_only,1,healthy,20000,-10000,0.00130970301420951,3.40585869745238e-05,0.00130987942387368,301064.240977116,20164.3423719294,22800.5995917589,-22800.5995917589,-5463.04179359839,11572.0162427134,5463.0417935984
20,0.995,1,1,left_column_only,1,healthy,20000,-15000,0.00131147903871942,4.79463313325862e-05,0.00131195636699969,430401.177061,22331.1230258686,27142.6860643625,-27142.6860643625,-1115.80493227518,9410.38597749369,1115.80493227518
21,0.995,1,1,left_column_only,1,healthy,20000,-20000,0.00131325506322934,6.18340756906485e-05,0.00131417924474454,559738.113144884,24497.9036798079,31484.7725369662,-31484.7725369662,3231.43192904804,7248.755712274,-3231.43192904803
22,0.995,1,1,left_column_only,1,healthy,25000,-10000,0.00163624075550693,3.56293615391236e-05,0.00163636208193354,311661.833179453,24122.0376379421,26329.7062533968,-26329.7062533968,-9002.4206726596,15545.8354360016,9002.4206726596
23,0.995,1,1,left_column_only,1,healthy,25000,-15000,0.00163801678001684,4.9517105897186e-05,0.00163836580434735,440998.769263337,26288.8182918813,30671.7927260004,-30671.7927260004,-4655.18381133638,13384.2051707819,4655.18381133638
24,0.995,1,1,left_column_only,1,healthy,25000,-20000,0.00163979280452676,6.34048502552483e-05,0.0016404866135091,570335.705347221,28455.5989458206,35013.8791986041,-35013.8791986041,-307.946950013145,11222.5749055622,307.946950013175
25,0.99,1,1,left_column_only,1,healthy,10000,-10000,0.000659185136537118,3.09151905518384e-05,0.000659645504660628,279833.505035571,12230.5378796143,15715.147552298,-15715.147552298,1596.79006902518,3651.10463711296,-1596.79006902517
26,0.99,1,1,left_column_only,1,healthy,10000,-15000,0.000661534320635999,4.4801787648407e-05,0.000662655519400693,409156.330299464,14396.7196497759,20048.2858816322,-20048.2858816322,5940.24146380072,1495.23593239263,-5940.24146380073
